,cost,probabilities,shares,p_shares,payments,round_num
0,69.31471805599453,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}",0
1,75.53495294869569,"{'Harvard': 0.4760218379043951, 'Yale': 0.5239781620956049}","{'Harvard': 1.3057981634288849, 'Yale': 10.904425856735175}","{1: {'Harvard': 25.28321457417675, 'Yale': 2.0758149977695894}, 2: {'Harvard': 20.797755249856284, 'Yale': 22.702749064669874}, 3: {'Harvard': 1.3057981634288849, 'Yale': 10.904425856735175}}","{1: {'Harvard': 14.351238640304558, 'Yale': 14.351238640304558}, 2: {'Harvard': 21.754788340465907, 'Yale': 21.754788340465907}, 3: {'Harvard': 6.220234892701157, 'Yale': 6.220234892701157}}",1
2,83.71025896288258,"{'Harvard': 0.499537300763993, 'Yale': 0.500462699236007}","{'Harvard': 14.30295821513582, 'Yale': 14.488037962370411}","{1: {'Harvard': 26.68390838777159, 'Yale': 3.6374202762450607}, 2: {'Harvard': 19.48413662289032, 'Yale': 11.13214949292088}, 3: {'Harvard': 12.997160051706937, 'Yale': 3.5836121056352366}}","{1: {'Harvard': 15.898000764682337, 'Yale': 15.196278784074863}, 2: {'Harvard': 15.422557424562058, 'Yale': 15.167726968121087}, 3: {'Harvard': 8.43181647094643, 'Yale': 8.144604901074018}}",2
3,91.26368912676462,"{'Harvard': 0.4778450274261825, 'Yale': 0.5221549725738176}","{'Harvard': 17.416808180393325, 'Yale': 26.28460384326317}","{1: {'Harvard': 3.909795667682058, 'Yale': 8.044616963897921}, 2: {'Harvard': 21.4902448437494, 'Yale': 14.247943563142707}, 3: {'Harvard': 3.113849965257505, 'Yale': 11.796565880892759}}","{1: {'Harvard': 5.85088884794061, 'Yale': 6.147945022544178}, 2: {'Harvard': 18.192722540074328, 'Yale': 17.672555827982464}, 3: {'Harvard': 7.23918604078159, 'Yale': 7.862666896901018}}",3
4,105.28027523601405,"{'Harvard': 0.5214066879042369, 'Yale': 0.4785933120957631}","{'Harvard': 40.15778016156959, 'Yale': 31.58986748636317}","{1: {'Harvard': 15.73838820767254, 'Yale': 12.78592772871711}, 2: {'Harvard': 17.756411964488354, 'Yale': 17.22528338910974}, 3: {'Harvard': 22.740971981176262, 'Yale': 5.305263643099997}}","{1: {'Harvard': 14.40119450500542, 'Yale': 14.079980281382632}, 2: {'Harvard': 17.514265711208935, 'Yale': 17.45649265672762}, 3: {'Harvard': 15.155163797505026, 'Yale': 13.259838714081383}}",4
5,112.94823211799843,"{'Harvard': 0.5047066491213041, 'Yale': 0.49529335087869597}","{'Harvard': 44.570440986050016, 'Yale': 42.68772572696593}","{1: {'Harvard': 7.982883876672563, 'Yale': 21.844353053178665}, 2: {'Harvard': 5.379326950192791, 'Yale': 4.329077499394175}, 3: {'Harvard': 4.412660824480429, 'Yale': 11.097858240602763}}","{1: {'Harvard': 13.773101356950647, 'Yale': 16.23172541357482}, 2: {'Harvard': 4.959570685279203, 'Yale': 4.773287740663164}, 3: {'Harvard': 7.146878998246919, 'Yale': 8.333168065388477}}",5
6,118.54007917624475,"{'Harvard': 0.5154809082935827, 'Yale': 0.4845190917064172}","{'Harvard': 52.27457802335233, 'Yale': 46.08023483015814}","{1: {'Harvard': 15.70609480702388, 'Yale': 14.705136834908751}, 2: {'Harvard': 2.384278324152268, 'Yale': 0.811970444991982}, 3: {'Harvard': 7.704137037302318, 'Yale': 3.392509103192213}}","{1: {'Harvard': 15.316529590944285, 'Yale': 15.101585237576955}, 2: {'Harvard': 1.7734149986270609, 'Yale': 1.435788019356366}, 3: {'Harvard': 6.0430022862927615, 'Yale': 5.117327373563427}}",6
7,136.90037661861948,"{'Harvard': 0.5558248867364675, 'Yale': 0.4441751132635325}","{'Harvard': 78.17017799340418, 'Yale': 55.74673711235353}","{1: {'Harvard': 4.613049317808512, 'Yale': 5.802457104355762}, 2: {'Harvard': 19.737288712359078, 'Yale': 19.05880774525428}, 3: {'Harvard': 25.895599970051848, 'Yale': 9.666502282195385}}","{1: {'Harvard': 5.057413789048212, 'Yale': 5.344075723822527}, 2: {'Harvard': 19.48528856016054, 'Yale': 19.321787333922657}, 3: {'Harvard': 20.15816925012868, 'Yale': 16.259723879237583}}",7
8,150.30476607426527,"{'Harvard': 0.5818711018738134, 'Yale': 0.41812889812618653}","{'Harvard': 96.15413305192475, 'Yale': 63.10821354723437}","{1: {'Harvard': 23.37141370049871, 'Yale': 16.395044560911607}, 2: {'Harvard': 15.236063431765219, 'Yale': 1.8940141903237198}, 3: {'Harvard': 17.983955058520564, 'Yale': 7.361476434880845}}","{1: {'Harvard': 21.23311454242034, 'Yale': 18.992067436078926}, 2: {'Harvard': 11.23573808913757, 'Yale': 6.960753907049266}, 3: {'Harvard': 14.768878545771912, 'Yale': 11.36131797061887}}",8
9,161.26175318424978,"{'Harvard': 0.5793055680501152, 'Yale': 0.4206944319498847}","{'Harvard': 106.66923426034646, 'Yale': 74.67690081657432}","{1: {'Harvard': 7.07042020990387, 'Yale': 24.135133440792295}, 2: {'Harvard': 19.168960174257897, 'Yale': 17.8640872650932}, 3: {'Harvard': 10.515101208421711, 'Yale': 11.568687269339943}}","{1: {'Harvard': 12.088570125332495, 'Yale': 18.533183389915408}, 2: {'Harvard': 18.80977191342828, 'Yale': 18.319156545809392}, 3: {'Harvard': 10.80760341242052, 'Yale': 11.204070213024735}}",9
