,cost,probabilities,shares,p_shares,payments,round_num
0,138.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 0.0, 'Yale': 0.0}","{1: {'Harvard': 0.0, 'Yale': 0.0}, 2: {'Harvard': 0.0, 'Yale': 0.0}, 3: {'Harvard': 0.0, 'Yale': 0.0}}","{1: 0, 2: 0, 3: 0}",0
1,141.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 3.0, 'Yale': 3.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 0.9999999999999716, 2: 0.9999999999999716, 3: 0.9999999999999716}",1
2,144.6294361119891,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 6.0, 'Yale': 6.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",2
3,147.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 9.0, 'Yale': 9.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 0.9999999999999716, 2: 0.9999999999999716, 3: 0.9999999999999716}",3
4,150.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 12.0, 'Yale': 12.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",4
5,153.62943611198904,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 15.0, 'Yale': 15.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",5
6,156.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 18.0, 'Yale': 18.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0000000000000284, 2: 1.0000000000000284, 3: 1.0000000000000284}",6
7,159.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 21.0, 'Yale': 21.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",7
8,162.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 24.0, 'Yale': 24.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",8
9,165.6294361119891,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 27.0, 'Yale': 27.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",9
10,168.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 30.0, 'Yale': 30.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",10
11,171.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 33.0, 'Yale': 33.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 0.9999999999999716, 2: 0.9999999999999716, 3: 0.9999999999999716}",11
12,174.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 36.0, 'Yale': 36.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 0.9999999999999716, 2: 0.9999999999999716, 3: 0.9999999999999716}",12
13,177.62943611198904,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 39.0, 'Yale': 39.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 0.9999999999999716, 2: 0.9999999999999716, 3: 0.9999999999999716}",13
14,180.62943611198904,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 42.0, 'Yale': 42.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0000000000000284, 2: 1.0000000000000284, 3: 1.0000000000000284}",14
15,183.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 45.0, 'Yale': 45.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",15
16,186.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 48.0, 'Yale': 48.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",16
17,189.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 51.0, 'Yale': 51.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",17
18,192.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 54.0, 'Yale': 54.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",18
19,195.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 57.0, 'Yale': 57.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 0.9999999999999716, 2: 0.9999999999999716, 3: 0.9999999999999716}",19
20,198.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 60.0, 'Yale': 60.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",20
21,201.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 63.0, 'Yale': 63.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",21
22,204.62943611198904,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 66.0, 'Yale': 66.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0000000000000284, 2: 1.0000000000000284, 3: 1.0000000000000284}",22
23,207.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 69.0, 'Yale': 69.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0000000000000284, 2: 1.0000000000000284, 3: 1.0000000000000284}",23
24,210.62943611198907,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 72.0, 'Yale': 72.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",24
25,213.62943611198904,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 75.0, 'Yale': 75.0}","{1: {'Harvard': 1, 'Yale': 1}, 2: {'Harvard': 1, 'Yale': 1}, 3: {'Harvard': 1, 'Yale': 1}}","{1: 1.0, 2: 1.0, 3: 1.0}",25
