,outcomes,agents_list,mechanism,i_shares,liquidity,num_rounds,cost,probabilities,shares,results_full
0,"['Harvard', 'Yale']","[Agent({'id': 1, 'name': 'first', 'balance': 740.0, 'type': 'default'}), Agent({'id': 2, 'name': 'second', 'balance': 740.0, 'type': 'default'}), Agent({'id': 3, 'name': 'third', 'balance': 740.0, 'type': 'default'})]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",100.0,60.0,249.31471805599452,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 180.0, 'Yale': 180.0}",
1,"['Harvard', 'Yale']","[Agent({'id': 1, 'name': 'first', 'balance': 740.0, 'type': 'default'}), Agent({'id': 2, 'name': 'second', 'balance': 740.0, 'type': 'default'}), Agent({'id': 3, 'name': 'third', 'balance': 740.0, 'type': 'default'})]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",200.0,60.0,318.62943611198904,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 180.0, 'Yale': 180.0}",
2,"['Harvard', 'Yale']","[Agent({'id': 1, 'name': 'first', 'balance': 740.0, 'type': 'default'}), Agent({'id': 2, 'name': 'second', 'balance': 740.0, 'type': 'default'}), Agent({'id': 3, 'name': 'third', 'balance': 740.0, 'type': 'default'})]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",100.0,70.0,279.31471805599455,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 210.0, 'Yale': 210.0}",
3,"['Harvard', 'Yale']","[Agent({'id': 1, 'name': 'first', 'balance': 740.0, 'type': 'default'}), Agent({'id': 2, 'name': 'second', 'balance': 740.0, 'type': 'default'}), Agent({'id': 3, 'name': 'third', 'balance': 740.0, 'type': 'default'})]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",200.0,70.0,348.6294361119891,"{'Harvard': 0.5, 'Yale': 0.5}","{'Harvard': 210.0, 'Yale': 210.0}",
