,cost,probabilities,shares,p_shares,payments,round_num
36,680.814217568593,"{'Harvard': 0.4646686229086928, 'Yale': 0.5353313770913073}","{'Harvard': 527.5280642988677, 'Yale': 555.8403520884776}","{1: {'Harvard': 27.22368415250544, 'Yale': 12.499798492347175}, 2: {'Harvard': 36.88675130656375, 'Yale': 7.760287337470697}, 3: {'Harvard': 19.63519960971576, 'Yale': 8.61868814501272}}","{1: {'Harvard': 26.182796469718255, 'Yale': 13.42779214473569}, 2: {'Harvard': 34.89447719203247, 'Yale': 9.65995293682704}, 3: {'Harvard': 18.849728017703683, 'Yale': 9.30695794456085}}",36
37,697.6246116630937,"{'Harvard': 0.45550810694430904, 'Yale': 0.544491893055691}","{'Harvard': 540.3562587553699, 'Yale': 576.0441665617795}","{1: {'Harvard': 28.377295004052186, 'Yale': 4.088035021927483}, 2: {'Harvard': 17.592314981164684, 'Yale': 3.504078017206022}, 3: {'Harvard': 12.828194456502317, 'Yale': 20.203814473301886}}","{1: {'Harvard': 26.844600703693345, 'Yale': 5.592099049911326}, 2: {'Harvard': 16.682147661479007, 'Yale': 4.355539959519092}, 3: {'Harvard': 13.329116593669937, 'Yale': 19.78005183006303}}",37
38,712.2513712070604,"{'Harvard': 0.4783444133911367, 'Yale': 0.5216555866088635}","{'Harvard': 564.7665160388815, 'Yale': 582.1018302812648}","{1: {'Harvard': 37.36849560909061, 'Yale': 8.442617468388809}, 2: {'Harvard': 32.14628530514315, 'Yale': 12.635114416172941}, 3: {'Harvard': 24.410257283511587, 'Yale': 6.057663719485241}}","{1: {'Harvard': 35.66815529138262, 'Yale': 10.089653681456866}, 2: {'Harvard': 30.974156164529404, 'Yale': 13.721243601202673}, 3: {'Harvard': 23.304765900382108, 'Yale': 7.076468575859963}}",38
39,737.294791463096,"{'Harvard': 0.4962470901472124, 'Yale': 0.5037529098527875}","{'Harvard': 597.1585293268705, 'Yale': 600.1609135920515}","{1: {'Harvard': 7.249842596137264, 'Yale': 17.322371313081717}, 2: {'Harvard': 8.445710952278473, 'Yale': 11.140839690392921}, 3: {'Harvard': 32.392013287989045, 'Yale': 18.059083310786672}}","{1: {'Harvard': 7.828027544634438, 'Yale': 16.814496855893708}, 2: {'Harvard': 8.597737032686382, 'Yale': 11.002558376019465}, 3: {'Harvard': 31.61525950672558, 'Yale': 18.824882213021397}}",39
40,751.5830539267046,"{'Harvard': 0.5189078129866377, 'Yale': 0.48109218701336237}","{'Harvard': 620.3772467474013, 'Yale': 605.2437798771458}","{1: {'Harvard': 2.7359060169495546, 'Yale': 17.860310307124376}, 2: {'Harvard': 18.44481902837716, 'Yale': 10.60551842501968}, 3: {'Harvard': 23.21871742053079, 'Yale': 5.0828662850942665}}","{1: {'Harvard': 3.489738842835436, 'Yale': 17.16880789860636}, 2: {'Harvard': 18.074917473806863, 'Yale': 10.98403767960258}, 3: {'Harvard': 22.3835118722958, 'Yale': 5.980470808801783}}",40
41,771.8119626368818,"{'Harvard': 0.5251435469591917, 'Yale': 0.47485645304080826}","{'Harvard': 642.9952364400226, 'Yale': 622.8634176878861}","{1: {'Harvard': 19.27598676589563, 'Yale': 21.506829449890333}, 2: {'Harvard': 11.456490141355818, 'Yale': 17.41257962635118}, 3: {'Harvard': 22.61798969262132, 'Yale': 17.619637810740354}}","{1: {'Harvard': 19.372492915160592, 'Yale': 21.4041880719127}, 2: {'Harvard': 11.716463101755494, 'Yale': 17.140956123538558}, 3: {'Harvard': 22.40546547291399, 'Yale': 17.853614669404237}}",41
42,782.3083903701818,"{'Harvard': 0.5488058058626054, 'Yale': 0.4511941941373947}","{'Harvard': 662.3062656840395, 'Yale': 623.1369010733082}","{1: {'Harvard': 3.930302056550758, 'Yale': 2.3719994949976972}, 2: {'Harvard': 18.007726450565013, 'Yale': 15.764444202946613}, 3: {'Harvard': 19.311029244016904, 'Yale': 0.27348338542211426}}","{1: {'Harvard': 3.870366984120551, 'Yale': 2.438507101413961}, 2: {'Harvard': 17.92158759669485, 'Yale': 15.860343720917285}, 3: {'Harvard': 18.608729629450636, 'Yale': 1.1209506900773931}}",42
43,792.448029295925,"{'Harvard': 0.5290567668428761, 'Yale': 0.47094323315712394}","{'Harvard': 665.1161206640788, 'Yale': 641.8444860335511}","{1: {'Harvard': 3.598410886795247, 'Yale': 31.218329853543096}, 2: {'Harvard': 16.35741273858574, 'Yale': 23.304664606581014}, 3: {'Harvard': 2.809854980039312, 'Yale': 18.70758496024294}}","{1: {'Harvard': 4.637599011388261, 'Yale': 30.119825547137566}, 2: {'Harvard': 16.605940806548347, 'Yale': 23.014504896580775}, 3: {'Harvard': 3.391082970489947, 'Yale': 18.057568469170974}}",43
44,807.2274406607405,"{'Harvard': 0.5093437987019002, 'Yale': 0.49065620129809995}","{'Harvard': 672.3010304716852, 'Yale': 664.8251211677318}","{1: {'Harvard': 3.2809875330641773, 'Yale': 4.505448532439459}, 2: {'Harvard': 26.175391453895806, 'Yale': 17.24918323697297}, 3: {'Harvard': 7.184909807606333, 'Yale': 22.980635134180694}}","{1: {'Harvard': 3.3236070001926237, 'Yale': 4.458054384402885}, 2: {'Harvard': 25.872197937535134, 'Yale': 17.60323533481062}, 3: {'Harvard': 7.754500747182533, 'Yale': 22.39016156632067}}",44
45,829.9343934886455,"{'Harvard': 0.513142832311168, 'Yale': 0.48685716768883214}","{'Harvard': 696.4941840872979, 'Yale': 685.9774956718077}","{1: {'Harvard': 10.677543884190698, 'Yale': 20.042849381749825}, 2: {'Harvard': 19.20429948047736, 'Yale': 17.5542056328666}, 3: {'Harvard': 24.193153615612662, 'Yale': 21.152374504075812}}","{1: {'Harvard': 10.998681147309412, 'Yale': 19.724628995488274}, 2: {'Harvard': 19.149207591326217, 'Yale': 17.61177985739232}, 3: {'Harvard': 24.09197075199029, 'Yale': 21.25882902727062}}",45
