,cost,round_num,shares_Harvard,shares_Yale,probability_Harvard,probability_Yale,purchase_agent2_Harvard,purchase_agent2_Yale,totalpurchase_agent2_Harvard,totalpurchase_agent2_Yale,belief_agent2_Harvard,belief_agent2_Yale,payment_agent2
0,169.31471805599452,0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,169.31471805599452,1,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
2,169.31471805599452,2,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
3,169.31471805599452,3,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
4,169.31471805599452,4,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
5,169.31471805599452,5,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
6,169.31471805599452,6,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
7,169.31471805599452,7,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
8,169.31471805599452,8,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
9,170.74415086705545,9,100.0,102.83872046383054,0.4929036753719662,0.5070963246280338,0.0,0.9462401546101813,0.0,0.0,0.00980392156862745,0.9901960784313726,0.4742392861674034
10,172.35971206804948,10,100.0,106.00000147658645,0.4850044946924441,0.5149955053075559,0.0,1.053760337585303,0.0,0.9462401546101813,0.00980392156862745,0.9901960784313726,0.5357456526027988
11,174.1703112608931,11,100.0,109.4862961772234,0.4763020283594911,0.5236979716405089,0.0,1.1620982335456556,0.0,2.0000004921954844,0.00980392156862745,0.9901960784313726,0.6001617336119125
12,176.18587591663325,12,100.0,113.30039035489351,0.4667979551419877,0.5332020448580123,0.0,1.2713647258900387,0.0,3.16209872574114,0.00980392156862745,0.9901960784313726,0.6678266313905965
13,177.08723991457674,13,100.0,114.98424878551313,0.46260931224978324,0.5373906877502168,0.0,0.5612861435398754,0.0,4.433463451631178,0.30392156862745096,0.696078431372549,0.29967093646286
14,177.7766240345191,14,101.48428626821628,114.98424878551313,0.4663012578482004,0.5336987421517997,0.4947620894054317,0.0,0.0,4.994749595171053,0.5865051903114187,0.4134948096885813,0.22918586287806875
15,178.52376559409768,15,103.0797633650619,114.98424878551313,0.470273883903637,0.5297261160963629,0.5318256989485326,0.0,0.4947620894054317,4.994749595171053,0.5865051903114187,0.4134948096885813,0.2483429762689866
16,179.33054255003412,16,104.78758273417381,114.98424878551313,0.4745303987597542,0.5254696012402458,0.569273123037311,0.0,1.0265877883539642,4.994749595171053,0.5865051903114187,0.4134948096885813,0.268117985615163
17,180.19899706657787,17,106.60899841798071,114.98424878551313,0.4790741046775017,0.5209258953224982,0.6071385612689628,0.0,1.5958609113912754,4.994749595171053,0.5865051903114187,0.4134948096885813,0.28856532618840447
18,181.13134355770512,18,108.54537229148394,114.98424878551313,0.4839083679230946,0.5160916320769053,0.6454579578344155,0.0,2.202999472660238,4.994749595171053,0.5865051903114187,0.4134948096885813,0.3097420969722009
19,182.1299774145689,19,110.59817978295862,114.98424878551313,0.48903658501898223,0.5109634149810177,0.6842691638248971,0.0,2.848457430494654,4.994749595171053,0.5865051903114187,0.4134948096885813,0.33170829021756276
20,183.02480455343903,20,112.41947955710431,114.98424878551313,0.49358842838830974,0.5064115716116903,0.6070999247152298,0.0,3.532726594319551,4.994749595171053,0.5,0.5,0.29735458506894474
21,183.97797927568337,21,114.34124000491543,114.98424878551313,0.49839248358720367,0.5016075164127962,0.6405868159370366,0.0,4.139826519034781,4.994749595171053,0.5,0.5,0.3166991078824708
22,185.13424018743189,22,116.6478764149276,114.98424878551313,0.5041589731522229,0.49584102684777714,0.7688788033373929,0.0,4.780413334971818,4.994749595171053,0.5639386189258312,0.4360613810741688,0.3839423812710834
23,186.3640633127176,23,119.07265693497088,114.98424878551313,0.5102195969016996,0.4897804030983004,0.8082601733477651,0.0,5.549292138309211,4.994749595171053,0.5639386189258312,0.4360613810741688,0.40830814764899515
24,187.93213371347355,24,122.12319808369807,114.98424878551313,0.5178397972383002,0.48216020276169974,1.016847049575731,0.0,6.357552311656976,4.994749595171053,0.6633986928104575,0.33660130718954245,0.520107129142815
25,189.60055225514182,25,125.3204459936317,114.98424878551313,0.5258175115722675,0.4741824884277326,1.0657493033112029,0.0,7.374399361232706,4.994749595171053,0.6633986928104575,0.33660130718954245,0.553305186268858
26,191.37432818623995,26,128.66727326100434,114.98424878551313,0.534154289956358,0.4658457100436419,1.1156090891242134,0.0,8.440148664543909,4.994749595171053,0.6633986928104575,0.33660130718954245,0.5881580709272214
27,193.25882348590633,27,132.166770629115,114.98424878551313,0.5428509292168798,0.4571490707831201,1.166499122703548,0.0,9.555757753668122,4.994749595171053,0.6633986928104575,0.33660130718954245,0.624783015250415
28,194.40138408124614,28,132.166770629115,117.46682620433585,0.536683826938412,0.46331617306158807,0.0,0.8275258062742358,10.72225687637167,4.994749595171053,0.5397456279809222,0.46025437201907793,0.37915256344163595
29,196.0497348447245,29,135.21660274077237,117.46682620433585,0.544258304136218,0.45574169586378205,1.0166107038857788,0.0,10.72225687637167,5.822275401445289,0.5397456279809222,0.46025437201907793,0.5468831159207923
30,197.2901030905016,30,135.21660274077237,120.16859425202816,0.5375491918229994,0.4624508081770006,0.0,0.9005893492307722,11.738867580257448,5.822275401445289,0.5397456279809222,0.46025437201907793,0.41144226420772156
