,cost,round_num,shares_Harvard,shares_Yale,probability_Harvard,probability_Yale,purchase_agent1_Harvard,purchase_agent1_Yale,purchase_agent2_Harvard,purchase_agent2_Yale,purchase_agent3_Harvard,purchase_agent3_Yale,totalpurchase_agent1_Harvard,totalpurchase_agent1_Yale,totalpurchase_agent2_Harvard,totalpurchase_agent2_Yale,totalpurchase_agent3_Harvard,totalpurchase_agent3_Yale,belief_agent1_Harvard,belief_agent1_Yale,belief_agent2_Harvard,belief_agent2_Yale,belief_agent3_Harvard,belief_agent3_Yale,payment_agent1,payment_agent2,payment_agent3
0,169.31471805599452,0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,169.31471805599452,1,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2,169.31471805599452,2,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
3,169.31471805599452,3,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
4,169.31471805599452,4,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
5,169.31471805599452,5,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
6,169.31471805599452,6,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
7,169.31471805599452,7,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
8,169.855748854012,8,100.0,101.07915019729128,0.49730215068856504,0.502697849311435,0.0,0.11902391881889073,0.0,0.8411023596534944,0.0,0.11902391881889073,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.0,1.0,0.059529667774967265,0.4214354936943039,0.059529667774967265
9,170.45567140528428,9,100.0,102.26903566753623,0.4943276541974214,0.5056723458025785,0.0,0.12141688471887274,0.0,0.9470517008072075,0.0,0.12141688471887274,0.0,0.11902391881889073,0.0,0.8411023596534944,0.0,0.11902391881889073,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.0,1.0,0.0610544338152863,0.47720193091211627,0.0610544338152863
