,cost,round_num,shares_Harvard,shares_Yale,probability_Harvard,probability_Yale,purchase_agent1_Harvard,purchase_agent1_Yale,purchase_agent2_Harvard,purchase_agent2_Yale,totalpurchase_agent1_Harvard,totalpurchase_agent1_Yale,totalpurchase_agent2_Harvard,totalpurchase_agent2_Yale,belief_agent1_Harvard,belief_agent1_Yale,belief_agent2_Harvard,belief_agent2_Yale,payment_agent1,payment_agent2
0,169.31471805599452,0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,169.31471805599452,1,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
2,169.31471805599452,2,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
3,169.31471805599452,3,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
4,169.31471805599452,4,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
5,169.31471805599452,5,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
6,169.31471805599452,6,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
7,169.31471805599452,7,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
8,169.31471805599452,8,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
9,169.31471805599452,9,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
10,169.31471805599452,10,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
11,169.31471805599452,11,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
12,169.31471805599452,12,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
13,169.31471805599452,13,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
14,169.31471805599452,14,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
15,169.31471805599452,15,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
16,169.31471805599452,16,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
17,169.31471805599452,17,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
18,169.31471805599452,18,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
19,169.31471805599452,19,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
20,170.44939135958032,20,102.25661608687523,100.0,0.5056413008251583,0.49435869917484165,0.1538601877414929,0.0,2.102755899133736,0.0,0.0,0.0,0.0,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.0769596850645371,1.056904825709097
21,171.65470671748187,21,104.62647149828912,100.0,0.5115641161434669,0.4884358838565331,0.15799036076092665,0.0,2.2118650506529733,0.0,0.1538601877414929,0.0,2.102755899133736,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.07991764856515715,1.1245243435189138
22,172.9331192744384,22,107.1104333966339,100.0,0.5177685978769434,0.48223140212305665,0.1623504508722072,0.0,2.321611447472563,0.0,0.31185054850241956,0.0,4.314620949786709,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.0830855939523758,1.1943854977504884
23,174.28722938224533,23,109.70943247415714,100.0,0.5242545296020723,0.47574547039792764,0.16695925551541177,0.0,2.4320398220078316,0.0,0.4742009993746268,0.0,6.636232397259272,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.08648105917527005,1.2666157250266679
24,175.7197869264695,24,112.42446724195408,100.0,0.5310212727613683,0.46897872723863154,0.17183764353145178,0.0,2.5431971242654865,0.0,0.6411602548900386,0.0,9.068272219267104,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.09012348531499015,1.3413448694919623
25,177.23369582164298,25,115.25660874689007,100.0,0.538067710523709,0.46193228947629095,0.17700884405849882,0.0,2.6551326608774826,0.0,0.8129978984214904,0.0,11.61146934353259,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.09403447463475345,1.4187050915913915
26,178.83201868873948,26,118.20700577108337,100.0,0.5453921895974606,0.4546078104025395,0.18249878500164837,0.0,2.767898239191667,0.0,0.9900067424799892,0.0,14.266602004410073,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.09823809242902826,1.4988307465535229
27,180.51798173651358,27,121.2768905790474,100.0,0.5529924603858807,0.4470075396141194,0.188336491286137,0.0,2.881548316677896,0.0,1.1725055274816376,0.0,17.03450024360174,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.10276122171609359,1.5818582312371632
28,182.29497987863417,28,124.46758529059241,100.0,0.5608656159698285,0.43913438403017147,0.19455455558201207,0.0,2.9961401559629857,0.0,1.3608420187677746,0.0,19.916048560279638,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.10763398201910945,1.6679257983537923
29,184.16658213221854,29,127.78050897384244,100.0,0.569008030508462,0.43099196949153806,0.20118969736336265,0.0,3.1117339858866755,0.0,1.5553965743497866,0.0,22.912188716242625,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.1128902263133682,1.757173337546675
30,186.1365373613435,30,131.2171855731875,100.0,0.5774152977641915,0.42258470223580846,0.20828343026333704,0.0,3.2283931690817242,0.0,1.7565862717131493,0.0,26.0239227021293,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.11856813387100829,1.8497421234157798
31,188.20878045263737,31,134.77925281293759,100.0,0.5860821705833199,0.41391782941668015,0.2158828630151566,0.0,3.346184376734927,0.0,1.9648697019764862,0.0,29.252315871211025,0.0,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.12471092148678053,1.9457745313398505
32,189.03924789601732,32,136.19210621799476,100.0,0.5895053893659699,0.41049461063403014,0.08580081407229964,0.0,1.3270525909849011,0.0,2.180752564991643,0.0,32.59850024794595,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.05029525637488064,0.7798963088687572
33,189.90383829745966,33,137.65435849776262,100.0,0.593039187913346,0.4069608120866541,0.0891617243760889,0.0,1.373090555391769,0.0,2.2665533790639425,0.0,33.92555283893085,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.05257093536087609,0.8117235985425566
34,190.803498162151,34,139.1667414326027,100.0,0.5966840308262383,0.4033159691737616,0.09278422913129304,0.0,1.4195987057087835,0.0,2.355715103440031,0.0,35.29864339432262,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.05503507183217948,0.8443073562447694
35,191.7392310756928,35,140.73003993365145,100.0,0.6004403889469936,0.39955961105300636,0.09669887635353176,0.0,1.4665996246952318,0.0,2.4484993325713242,0.0,36.718242100031404,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.05770992591703816,0.8776822200194658
36,192.71210265523052,36,142.3450979268209,100.0,0.6043087432753882,0.39569125672461175,0.10094112457308975,0.0,1.5141168685963464,0.0,2.545198208924856,0.0,38.18484172472664,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.06062134970855482,0.9118841583414792
37,193.72324635804998,37,144.01282533998494,100.0,0.6082895905400035,0.3917104094599965,0.10555236792177587,0.0,1.5621750452422831,0.0,2.646139333497946,0.0,39.698958593322985,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.06379953835389074,0.9469505705447432
38,194.77387035951477,38,145.73420647152034,100.0,0.6123834509211594,0.38761654907884063,0.1105812290065572,0.0,1.61079990252885,0.0,2.751691701419722,0.0,41.26113363856527,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.06727997763172766,0.9829204010868864
39,195.86526577878044,39,147.51031010604905,100.0,0.6165908785820574,0.38340912141794253,0.11608520487115742,0.0,1.6600184296575513,0.0,2.862272930426279,0.0,42.87193354109412,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.07110465068868166,1.0198342710485804
40,196.99881662246895,40,149.342301864162,100.0,0.620912475886561,0.37908752411343893,0.1221327838741962,0.0,1.7098589742387467,0.0,2.9783581352974364,0.0,44.53195197075168,0.0,0.6470588235294118,0.3529411764705882,0.6470588235294118,0.3529411764705882,0.07532359053254822,1.0577346313375813
41,198.34555342800658,41,151.50243694291785,100.0,0.6259835633532899,0.37401643664671,0.1472819371878982,0.0,2.012853141567942,0.0,3.1004909191716328,0.0,46.241810944990426,0.0,0.7262443438914027,0.27375565610859726,0.7262443438914027,0.27375565610859726,0.09147471853702882,1.2545661303205122
42,199.74548735641068,42,153.72955364812472,100.0,0.6311830666255795,0.3688169333744204,0.15574242693754425,0.0,2.0713742782693383,0.0,3.247772856359531,0.0,48.25466408655837,0.0,0.7262443438914027,0.27375565610859726,0.7262443438914027,0.27375565610859726,0.09752059037711547,1.301660182156894
43,201.20074231254225,43,156.02545174647216,100.0,0.6365114286663125,0.36348857133368756,0.16517252506096564,0.0,2.130725573286457,0.0,3.403515283297075,0.0,50.32603836482771,0.0,0.7262443438914027,0.27375565610859726,0.7262443438914027,0.27375565610859726,0.10428585127800716,1.3501523213763562
44,201.8248407534915,44,156.02545174647216,101.70767339364306,0.6325513410398493,0.3674486589601506,0.0,0.12680743022101995,0.0,1.5808659634220488,3.5686878083580407,0.0,52.456763938114165,0.0,0.4641319942611191,0.5358680057388809,0.4641319942611191,0.5358680057388809,0.046111655651401406,0.5775219062012411
45,202.47389199712362,45,156.02545174647216,103.46427182340362,0.6284590535817597,0.37154094641824037,0.0,0.135122956135427,0.0,1.621475473625124,3.5686878083580407,0.12680743022101995,52.456763938114165,1.5808659634220488,0.4641319942611191,0.5358680057388809,0.4641319942611191,0.5358680057388809,0.04967197035458071,0.598868846464967
46,203.14910259774672,46,156.02545174647216,105.27131999890625,0.6242299252602511,0.3757700747397488,0.0,0.14456385404021022,0.0,1.6624843214624174,3.5686878083580407,0.26193038635644694,52.456763938114165,3.202341437047173,0.4641319942611191,0.5358680057388809,0.4641319942611191,0.5358680057388809,0.05373579322781552,0.6209123381777317
47,203.85182747381046,47,156.02545174647216,107.13060657048428,0.6198586831828058,0.38014131681719415,0.0,0.15537213690067034,0.0,1.7039144346773512,3.5686878083580407,0.40649424039665716,52.456763938114165,4.86482575850959,0.4641319942611191,0.5358680057388809,0.4641319942611191,0.5358680057388809,0.058412515952056765,0.6436899454136551
48,204.58360755894654,48,156.02545174647216,109.04426070011645,0.6153392371543733,0.38466076284562667,0.0,0.1678643973361555,0.0,1.7457897322960172,3.5686878083580407,0.5618663772973275,52.456763938114165,6.568740193186941,0.4641319942611191,0.5358680057388809,0.4641319942611191,0.5358680057388809,0.06384539649673115,0.6672425824545485
49,205.2385710298584,49,156.02545174647216,110.73812583270798,0.611322159484769,0.38867784051523097,0.0,0.15683936412884567,0.0,1.5370257684626876,3.5686878083580407,0.7297307746334829,52.456763938114165,8.314529925482958,0.5408496732026143,0.4591503267973856,0.5408496732026143,0.4591503267973856,0.060359064998920076,0.5940327061779271
50,205.92065003804518,50,156.02545174647216,112.48367041239845,0.6071666474109214,0.3928333525890786,0.0,0.1716929094777515,0.0,1.573851670212722,3.5686878083580407,0.8865701387623286,52.456763938114165,9.851555693945645,0.5408496732026143,0.4591503267973856,0.5408496732026143,0.4591503267973856,0.06676825523842922,0.6146674579391345
51,206.63188528546846,51,156.02545174647216,114.28434106701873,0.6028635847923542,0.3971364152076457,0.0,0.18954427943371344,0.0,1.6111263751865643,3.5686878083580407,1.05826304824008,52.456763938114165,11.425407364158367,0.5408496732026143,0.4591503267973856,0.5408496732026143,0.4591503267973856,0.0745021662886245,0.6360033142574935
52,207.3748166180368,52,156.02545174647216,116.14461721056763,0.5984013186394169,0.40159868136058313,0.0,0.21139501631237412,0.0,1.648881127236518,3.5686878083580407,1.2478073276737935,52.456763938114165,13.036533739344932,0.5408496732026143,0.4591503267973856,0.5408496732026143,0.4591503267973856,0.08400616234123959,0.6580890616098998
53,208.26374082300862,53,156.02545174647216,118.34359272426504,0.5931055570006203,0.40689444299937966,0.0,0.2726002702930659,0.0,1.9263752434043322,3.5686878083580407,1.4592023439861677,52.456763938114165,14.68541486658145,0.4732620320855615,0.5267379679144385,0.4732620320855615,0.5267379679144385,0.10956521597020696,0.7780943223923771
54,209.1991996036358,54,156.02545174647216,120.62712804599047,0.5875831690917458,0.4124168309082542,0.0,0.3128130577706065,0.0,1.9707222639548208,3.5686878083580407,1.7318026142792335,52.456763938114165,16.611790109985783,0.4732620320855615,0.5267379679144385,0.4732620320855615,0.5267379679144385,0.12739999157690818,0.8065679509655865
