,cost,round_num,shares_Harvard,shares_Yale,probability_Harvard,probability_Yale,purchase_agent2_Harvard,purchase_agent2_Yale,totalpurchase_agent2_Harvard,totalpurchase_agent2_Yale,belief_agent2_Harvard,belief_agent2_Yale,payment_agent2
0,169.31471805599452,0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,169.31471805599452,1,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
2,169.31471805599452,2,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
3,169.31471805599452,3,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
4,169.31471805599452,4,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
5,169.31471805599452,5,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
6,169.31471805599452,6,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
7,169.31471805599452,7,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
8,169.31471805599452,8,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0
9,170.33893791383386,9,100.0,102.03805571762193,0.4949050370613939,0.505094962938606,0.0,0.9462401546101813,0.0,0.0,0.00980392156862745,0.9901960784313726,0.4742392861674034
10,171.43991720729207,10,100.0,104.2061718583992,0.48948612039424916,0.5105138796057508,0.0,1.053084982663267,0.0,0.9462401546101813,0.00980392156862745,0.9901960784313726,0.5332939553441918
11,172.62056577566074,11,100.0,106.50589734537138,0.48374099115033076,0.5162590088496692,0.0,1.1604119429676003,0.0,1.9993251372734484,0.00980392156862745,0.9901960784313726,0.5940887072700036
12,173.88401262629523,12,100.0,108.93889595929866,0.4776676284777092,0.5223323715222908,0.0,1.268265234919574,0.0,3.1597370802410487,0.00980392156862745,0.9901960784313726,0.6567615584222892
13,174.50206373718697,13,100.0,110.11882399681394,0.47472450277271944,0.5252754972272805,0.0,0.5562987730774763,0.0,4.428002315160622,0.30392156862745096,0.696078431372549,0.2909588886397785
14,174.94417032123076,14,100.48873001165819,110.51877534871304,0.4749458872121342,0.5250541127878658,0.48873001165818886,0.0,0.0,4.984301088238099,0.5865051903114187,0.4134948096885813,0.23230994431608565
15,175.3481843263789,15,101.3374912239091,110.51877534871304,0.4770628999687712,0.5229371000312288,0.5247445646653117,0.0,0.48873001165818886,4.984301088238099,0.5865051903114187,0.4134948096885813,0.24956863437901688
16,175.7896285851136,16,102.26060050493001,110.51877534871304,0.4793662879460944,0.5206337120539056,0.5608049063233943,0.0,1.0134745763235005,4.984301088238099,0.5865051903114187,0.4134948096885813,0.26793154842229683
17,176.26508716650912,17,103.24990059170236,110.51877534871304,0.48183581017782345,0.5181641898221765,0.5971059717016881,0.0,1.5742794826468947,4.984301088238099,0.5865051903114187,0.4134948096885813,0.2866774195024959
18,176.77291255257947,18,104.30097665859415,110.51877534871304,0.4844605093901909,0.5155394906098091,0.6336562281342092,0.0,2.1713854543485827,4.984301088238099,0.5865051903114187,0.4134948096885813,0.3058195375689081
19,177.31237418895392,19,105.41132898336774,110.51877534871304,0.4872341590479428,0.5127658409520572,0.6704674656419992,0.0,2.8050416824827917,4.984301088238099,0.5865051903114187,0.4134948096885813,0.32537641340647383
20,177.8069462633153,20,106.42376114141557,110.51877534871304,0.4897638948642295,0.5102361051357706,0.5910412472965131,0.0,3.475509148124791,4.984301088238099,0.5,0.5,0.288411883954808
21,178.3239656683186,21,107.47658343906896,110.51877534871304,0.49239510673990183,0.5076048932600983,0.6223243119216035,0.0,4.066550395421304,4.984301088238099,0.5,0.5,0.3052759051866474
22,178.92608343040064,22,108.6956460137463,110.51877534871304,0.49544230290251906,0.504557697097481,0.7481474201103888,0.0,4.688874707342908,4.984301088238099,0.5639386189258312,0.4360613810741688,0.3690836475303456
23,179.5589430222813,23,109.96891872905731,110.51877534871304,0.4986253619142859,0.501374638085714,0.7844622391124786,0.0,5.437022127453297,4.984301088238099,0.5639386189258312,0.4360613810741688,0.38942495698802304
24,180.33804669447846,24,111.52534896284634,110.51877534871304,0.5025164127886576,0.49748358721134245,0.9896265684139859,0.0,6.221484366565775,4.984301088238099,0.6633986928104575,0.33660130718954245,0.49467710362037565
25,181.16050807716695,25,113.15542538845783,110.51877534871304,0.5065912432552993,0.4934087567447008,1.03410727406539,0.0,7.211110934979761,4.984301088238099,0.6633986928104575,0.33660130718954245,0.5209925371171096
26,182.02702236607314,26,114.85874854808398,110.51877534871304,0.5108482302985199,0.48915176970148005,1.079035564352989,0.0,8.24521820904515,4.984301088238099,0.6633986928104575,0.33660130718954245,0.5480850362828846
27,182.9386552796452,27,116.63557556503345,110.51877534871304,0.515287234374524,0.48471276562547616,1.1244362465127973,0.0,9.324253773398139,4.984301088238099,0.6633986928104575,0.33660130718954245,0.5759958319600855
28,183.7232849908055,28,118.15270180142855,110.51877534871304,0.5190755531745412,0.48092444682545876,0.9280624279650048,0.0,10.448690019910936,4.984301088238099,0.5397456279809222,0.46025437201907793,0.47929423465981813
29,184.5405632024596,29,119.72127462512613,110.51877534871304,0.5229900260373552,0.4770099739626448,0.9649998916153155,0.0,11.37675244787594,4.984301088238099,0.5397456279809222,0.46025437201907793,0.5020700421568165
30,185.39243079490004,30,121.34383809640536,110.51877534871304,0.5270362606686367,0.4729637393313632,1.0023621410051484,0.0,12.341752339491256,4.984301088238099,0.5397456279809222,0.46025437201907793,0.5254784615963217
