,cost,round_num,shares_Harvard,shares_Yale,probability_Harvard,probability_Yale,purchase_agent1_Harvard,purchase_agent1_Yale,purchase_agent2_Harvard,purchase_agent2_Yale,purchase_agent3_Harvard,purchase_agent3_Yale,payment_agent1,payment_agent2,payment_agent3
0,138.62943611198907,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,138.62943611198907,1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,138.62943611198907,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,138.62943611198907,3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,138.62943611198907,4,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,138.62943611198907,5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,138.62943611198907,6,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,138.62943611198907,7,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,138.62943611198907,8,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,138.62943611198907,9,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,138.62943611198907,10,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,138.62943611198907,11,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,138.62943611198907,12,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,138.62943611198907,13,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,138.62943611198907,14,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,138.62943611198907,15,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,138.62943611198907,16,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,138.70601231949524,17,0.0,0.1531231066558041,0.4998085961260298,0.5001914038739702,0.0,0.0510410355519347,0.0,0.0510410355519347,0.0,0.0510410355519347,0.02552214601803371,0.02552214601803371,0.02552214601803371
18,138.7833673021081,18,0.0,0.3077439972899421,0.49961532007928683,0.5003846799207132,0.0,0.05154029687804602,0.0,0.05154029687804602,0.0,0.05154029687804602,0.025781673702567787,0.025781673702567787,0.025781673702567787
19,138.86151668678664,19,0.0,0.4638921547414658,0.49942013506654104,0.500579864933459,0.0,0.05204938581717455,0.0,0.05204938581717455,0.0,0.05204938581717455,0.026046408472694793,0.026046408472694793,0.026046408472694793
20,138.94047657184026,20,0.0,0.6215979398981548,0.4992230032005837,0.5007769967994162,0.0,0.05256859505222967,0.0,0.05256859505222967,0.0,0.05256859505222967,0.026316507369244846,0.026316507369244846,0.026316507369244846
21,139.02026354600076,21,0.0,0.7808926268891688,0.49902388545644677,0.5009761145435532,0.0,0.05309822899700465,0.0,0.05309822899700465,0.0,0.05309822899700465,0.026592133786664363,0.026592133786664363,0.026592133786664363
22,139.10089470846694,22,0.0,0.9418084400579951,0.4988227416254098,0.5011772583745903,0.0,0.053638604389608754,0.0,0.053638604389608754,0.0,0.053638604389608754,0.02687345779690986,0.02687345779690986,0.02687345779690986
23,139.18238768998071,23,0.0,1.10437859282484,0.49861953026666045,0.5013804697333395,0.0,0.054190050922281616,0.0,0.054190050922281616,0.0,0.054190050922281616,0.027160656492867474,0.027160656492867474,0.027160656492867474
24,139.26476067500008,24,0.0,1.2686373285554944,0.49841420865646263,0.5015857913435373,0.0,0.054752911910218215,0.0,0.054752911910218215,0.0,0.054752911910218215,0.027453914353856135,0.027453914353856135,0.027453914353856135
25,139.34803242503736,25,0.0,1.4346199635622527,0.49820673273467625,0.5017932672653237,0.0,0.05532754500225274,0.0,0.05532754500225274,0.0,0.05532754500225274,0.02775342363398181,0.02775342363398181,0.02775342363398181
26,139.38835257555155,26,0.0,1.5149640389347163,0.4981063040060148,0.5018936959939854,0.0,0.02678135845748786,0.0,0.02678135845748786,0.0,0.02678135845748786,0.013439153632077705,0.013439153632077705,0.013439153632077705
27,139.42517686172792,27,0.0,1.5883280253694363,0.4980146004031483,0.5019853995968516,0.0,0.024454662144906675,0.0,0.024454662144906675,0.0,0.024454662144906675,0.012274014531868715,0.012274014531868715,0.012274014531868715
28,139.45970590060966,28,0.0,1.6571070822071643,0.49792862799721826,0.5020713720027817,0.0,0.02292635227924274,0.0,0.02292635227924274,0.0,0.02292635227924274,0.011509022615939557,0.011509022615939557,0.011509022615939557
29,139.47922731181535,29,0.0,1.6959869457749916,0.4978800290215672,0.5021199709784328,0.0,0.012959954522609108,0.0,0.012959954522609108,0.0,0.012959954522609108,0.0065069271216771085,0.0065069271216771085,0.0065069271216771085
30,139.49604195341055,30,0.0,1.7294728490724633,0.49783817240987466,0.5021618275901255,0.0,0.011161967765823918,0.0,0.011161967765823918,0.0,0.011161967765823918,0.005604724797677818,0.005604724797677818,0.005604724797677818
