time_remaining,Harvard,Yale
55.2,0,7
48.6,3,7
39.2,10,7
33.85,10,14
30.15,13,14
26.833333333333336,13,21
20.816666666666666,13,28
14.083333333333334,20,28
9.233333333333333,20,35
4.75,27,35
2.283333333333333,27,42
