,outcomes,agents_list,mechanism,i_shares,liquidity,num_rounds,cost,probability_Harvard,probability_Yale,shares_Harvard,shares_Yale,results_full
0,"['Harvard', 'Yale']","[""Nerd2(1, 'first', 1000)"", ""Nerd2(2, 'second', 1000)"", ""Nerd2(3, 'third', 1000)""]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",100.0,60.0,124.43359544486145,0.46730379291377566,0.5326962070862243,48.35602417968316,61.453196919555296,
1,"['Harvard', 'Yale']","[""Nerd2(1, 'first', 1000)"", ""Nerd2(2, 'second', 1000)"", ""Nerd2(3, 'third', 1000)""]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",200.0,60.0,188.14112042746524,0.50612188399221,0.49387811600778997,51.945568178259755,47.0478162342802,
2,"['Harvard', 'Yale']","[""Nerd2(1, 'first', 1000)"", ""Nerd2(2, 'second', 1000)"", ""Nerd2(3, 'third', 1000)""]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",100.0,120.0,211.7856786174393,0.48941714658621477,0.5105828534137854,140.33166935213185,144.56544301858457,
3,"['Harvard', 'Yale']","[""Nerd2(1, 'first', 1000)"", ""Nerd2(2, 'second', 1000)"", ""Nerd2(3, 'third', 1000)""]",logarithmic,"{'Harvard': 0.0, 'Yale': 0.0}",200.0,120.0,250.29169754505727,0.47463847300669043,0.5253615269933095,101.25132270546715,121.55797143745075,
